station_id,ura,avg_load
2,12,0.44174756
2,13,0.43980401
3,12,0.56179652
3,13,0.56155080
4,12,0.52492652
4,13,0.52582980
5,12,0.45141232
5,13,0.45220937
6,12,0.53906654
6,13,0.54632943
7,12,0.55406408
7,13,0.55594228
8,12,0.49790946
8,13,0.48783106
9,12,0.53160596
9,13,0.52544990
10,12,0.43940513
10,13,0.44224619
11,12,0.51033658
11,13,0.52455582
12,12,0.57624396
12,13,0.57629854
13,12,0.46764355
13,13,0.46808662
14,12,0.46879134
14,13,0.47049798
16,12,0.46097442
16,13,0.46114016
21,12,0.43720168
21,13,0.43820668
22,12,0.46384658
22,13,0.46582725
23,12,0.47986295
23,13,0.48065276
24,12,0.49371707
24,13,0.49419724
25,12,0.46140650
25,13,0.46129212
26,12,0.51330576
26,13,0.50538946
27,12,0.55473961
27,13,0.55439025
28,12,0.42256415
28,13,0.42535844
29,12,0.44560238
29,13,0.44430274
30,12,0.49154243
30,13,0.49306486
31,12,0.53442716
31,13,0.53032090
32,12,0.48359825
32,13,0.48279854
33,12,0.42371281
33,13,0.42337268
34,12,0.41614268
34,13,0.41858022
35,12,0.55740501
35,13,0.56111321
36,12,0.54911934
36,13,0.55100802
37,12,0.48547590
37,13,0.48706550
38,12,0.52207861
38,13,0.52200433
39,12,0.49757598
39,13,0.48707297
41,12,0.50822874
41,13,0.50551823
42,12,0.49716319
42,13,0.50032350
45,12,0.52404071
45,13,0.50460825
46,12,0.46939562
46,13,0.47940877
47,12,0.46851248
47,13,0.46837399
48,12,0.53208463
48,13,0.54569182
49,12,0.43952785
49,13,0.44033857
50,12,0.44731913
50,13,0.46392818
51,12,0.54227733
51,13,0.53149681
54,12,0.41207544
54,13,0.43086646
55,12,0.40467522
55,13,0.40861632
56,12,0.38128077
56,13,0.39499488
57,12,0.52739340
57,13,0.52140260
58,12,0.38165904
58,13,0.38599014
59,12,0.32665142
59,13,0.33684967
60,12,0.55456324
60,13,0.59649321
61,12,0.48033218
61,13,0.49783794
62,12,0.35671470
62,13,0.34064284
63,12,0.56131518
63,13,0.56161654
64,12,0.52892225
64,13,0.53112698
65,12,0.56650951
65,13,0.54846105
66,12,0.40026392
66,13,0.40949212
67,12,0.39779439
67,13,0.39491427
68,12,0.55787820
68,13,0.55489626
69,12,0.36541568
69,13,0.38070775
70,12,0.34878567
70,13,0.38925225
71,12,0.40726468
71,13,0.40946651
72,12,0.38667581
72,13,0.39484861
73,12,0.44431060
73,13,0.43917663
74,12,0.47735966
74,13,0.47386213
75,12,0.46445183
75,13,0.46316840
76,12,0.51096335
76,13,0.50263017
77,12,0.50231941
77,13,0.49989083
80,12,0.44952477
80,13,0.45860690
82,12,0.45098386
82,13,0.44580564
83,12,0.41719881
83,13,0.42150953
84,12,0.42554248
84,13,0.41877051
