station_id,ura,avg_load
2,7,0.52770027
2,8,0.49548942
2,9,0.44049041
2,10,0.42962470
2,11,0.43897678
2,12,0.44174756
2,13,0.43980401
2,14,0.44105557
2,15,0.44945661
2,16,0.50359366
2,17,0.56970040
2,18,0.55823146
2,19,0.51938595
2,20,0.50612792
2,21,0.50380338
3,7,0.55681226
3,8,0.55819670
3,9,0.56147565
3,10,0.55882522
3,11,0.55949467
3,12,0.56179652
3,13,0.56155080
3,14,0.56033130
3,15,0.56022583
3,16,0.55715986
3,17,0.55680189
3,18,0.56092509
3,19,0.56789190
3,20,0.56959578
3,21,0.56894336
4,7,0.47086250
4,8,0.51880511
4,9,0.54302284
4,10,0.53400720
4,11,0.52540984
4,12,0.52492652
4,13,0.52582980
4,14,0.51633270
4,15,0.51017383
4,16,0.47263229
4,17,0.41797449
4,18,0.40827142
4,19,0.41943254
4,20,0.43278506
4,21,0.44711054
5,7,0.41494586
5,8,0.42493755
5,9,0.44155285
5,10,0.45429168
5,11,0.45432273
5,12,0.45141232
5,13,0.45220937
5,14,0.45441702
5,15,0.45264701
5,16,0.43757941
5,17,0.42183933
5,18,0.41617364
5,19,0.41391146
5,20,0.41453456
5,21,0.41532109
6,7,0.48484189
6,8,0.53791095
6,9,0.54575082
6,10,0.54161017
6,11,0.53696255
6,12,0.53906654
6,13,0.54632943
6,14,0.54650512
6,15,0.54345515
6,16,0.52463110
6,17,0.47700385
6,18,0.47825237
6,19,0.49143395
6,20,0.49609904
6,21,0.49404022
7,7,0.56569325
7,8,0.54742148
7,9,0.54794326
7,10,0.55058037
7,11,0.55241538
7,12,0.55406408
7,13,0.55594228
7,14,0.55476196
7,15,0.55332755
7,16,0.54937501
7,17,0.55239031
7,18,0.57155471
7,19,0.58458766
7,20,0.58161269
7,21,0.57839855
8,7,0.50247721
8,8,0.48139639
8,9,0.47765061
8,10,0.48264305
8,11,0.48757253
8,12,0.49790946
8,13,0.48783106
8,14,0.49041716
8,15,0.48981400
8,16,0.48929605
8,17,0.50201219
8,18,0.50863850
8,19,0.51147498
8,20,0.51341855
8,21,0.51498688
9,7,0.56366543
9,8,0.54659605
9,9,0.53929914
9,10,0.53260856
9,11,0.53010159
9,12,0.53160596
9,13,0.52544990
9,14,0.52164092
9,15,0.52323472
9,16,0.52056724
9,17,0.52119748
9,18,0.53316454
9,19,0.54838256
9,20,0.55654981
9,21,0.55998611
10,7,0.41253640
10,8,0.43725046
10,9,0.45109283
10,10,0.45770585
10,11,0.45752732
10,12,0.43940513
10,13,0.44224619
10,14,0.44230972
10,15,0.43676111
10,16,0.40839403
10,17,0.39916244
10,18,0.40334426
10,19,0.41106555
10,20,0.41552312
10,21,0.41757338
11,7,0.48198975
11,8,0.49383796
11,9,0.50589842
11,10,0.50553968
11,11,0.50606548
11,12,0.51033658
11,13,0.52455582
11,14,0.52690903
11,15,0.52282988
11,16,0.50821820
11,17,0.49398673
11,18,0.49549160
11,19,0.49938995
11,20,0.49815484
11,21,0.49496278
12,7,0.53245526
12,8,0.53986267
12,9,0.56824083
12,10,0.57564866
12,11,0.57540380
12,12,0.57624396
12,13,0.57629854
12,14,0.57686492
12,15,0.57584079
12,16,0.57137155
12,17,0.56659195
12,18,0.55796655
12,19,0.54880027
12,20,0.54403552
12,21,0.54065802
13,7,0.44534139
13,8,0.44187063
13,9,0.45674195
13,10,0.46851341
13,11,0.46647214
13,12,0.46764355
13,13,0.46808662
13,14,0.46599215
13,15,0.46733808
13,16,0.46347049
13,17,0.44564651
13,18,0.44246048
13,19,0.45115468
13,20,0.45556070
13,21,0.45709945
14,7,0.44349347
14,8,0.44658567
14,9,0.45201387
14,10,0.46025339
14,11,0.46712791
14,12,0.46879134
14,13,0.47049798
14,14,0.47391184
14,15,0.47523992
14,16,0.47450772
14,17,0.47120337
14,18,0.46451300
14,19,0.46430080
14,20,0.46458874
14,21,0.46314594
16,7,0.49560387
16,8,0.47261463
16,9,0.46414761
16,10,0.46060187
16,11,0.45874091
16,12,0.46097442
16,13,0.46114016
16,14,0.46080397
16,15,0.46029833
16,16,0.45895076
16,17,0.46062884
16,18,0.46379609
16,19,0.47612715
16,20,0.48734643
16,21,0.49275601
21,7,0.44013830
21,8,0.43813273
21,9,0.43994408
21,10,0.44069885
21,11,0.43888006
21,12,0.43720168
21,13,0.43820668
21,14,0.43847169
21,15,0.43835843
21,16,0.44029958
21,17,0.44010347
21,18,0.44194967
21,19,0.44094058
21,20,0.44311970
21,21,0.44334503
22,7,0.47785015
22,8,0.46653993
22,9,0.46174631
22,10,0.46102499
22,11,0.46067215
22,12,0.46384658
22,13,0.46582725
22,14,0.46552100
22,15,0.46633457
22,16,0.47255413
22,17,0.48596008
22,18,0.48847562
22,19,0.48705694
22,20,0.48661001
22,21,0.48807267
23,7,0.48097906
23,8,0.48203179
23,9,0.48499178
23,10,0.48597351
23,11,0.48406905
23,12,0.47986295
23,13,0.48065276
23,14,0.48147284
23,15,0.48167798
23,16,0.48048495
23,17,0.48077943
23,18,0.48131965
23,19,0.48091162
23,20,0.48040587
23,21,0.47993050
24,7,0.48036790
24,8,0.48270537
24,9,0.48760915
24,10,0.49089530
24,11,0.49252848
24,12,0.49371707
24,13,0.49419724
24,14,0.49378164
24,15,0.49336812
24,16,0.49233103
24,17,0.49128643
24,18,0.48970134
24,19,0.48577681
24,20,0.48193926
24,21,0.47955693
25,7,0.43509280
25,8,0.45147017
25,9,0.46035529
25,10,0.46312366
25,11,0.46240697
25,12,0.46140650
25,13,0.46129212
25,14,0.46068388
25,15,0.45949514
25,16,0.45166515
25,17,0.43291344
25,18,0.43202838
25,19,0.43533787
25,20,0.43550651
25,21,0.43408591
26,7,0.51671790
26,8,0.52307661
26,9,0.53020394
26,10,0.53174791
26,11,0.52782967
26,12,0.51330576
26,13,0.50538946
26,14,0.51047704
26,15,0.51328349
26,16,0.51238521
26,17,0.51116166
26,18,0.50958434
26,19,0.51097912
26,20,0.51252127
26,21,0.51244325
27,7,0.42771871
27,8,0.44017928
27,9,0.49072537
27,10,0.55187312
27,11,0.56167079
27,12,0.55473961
27,13,0.55439025
27,14,0.55405309
27,15,0.55250095
27,16,0.53921614
27,17,0.49620590
27,18,0.46006729
27,19,0.44545420
27,20,0.44027447
27,21,0.43517485
28,7,0.51559675
28,8,0.53560994
28,9,0.47986767
28,10,0.42413210
28,11,0.41681154
28,12,0.42256415
28,13,0.42535844
28,14,0.42530545
